操作时间,操作,名称,镜像,状态,CPU核数量,内存大小,Port
2026/09/20_16:36:43,启动容器,cass485_temp_0920_new_v1,cass485-backup:20260917,running,-,-,-
2026/09/20_16:38:53,创建容器,sssss,cass485-backup:20260917,created,2核(宿主机上限4核),0B / 0B,-
2026/09/20_16:39:02,启动容器,sssss,cass485-backup:20260917,running,2核(宿主机上限4核),0B / 0B,-
2026/09/20_16:39:11,删除容器,sssss,cass485-backup:20260917,deleted,2核(宿主机上限4核),588KB / 1GB,-
2026/09/20_16:41:49,停止容器,cass485_temp_0920_new_v1,cass485-backup:20260917,exited,-,808KB / 9.477GB,-
2026/09/20_16:41:49,停止容器,cass485_temp_0920_new_v2,cass485-backup:20260917,exited,-,595.4MB / 9.477GB,-
2026/09/20_16:42:56,启动容器,cass485_temp_0920_new_v2,cass485-backup:20260917,running,-,-,-
