P,1000,1500,2000,2500,3000,4000,5000,7500,10000,15000,20000,25000,30000,40000,50000,75000,100000,101325,125000,150000,175000,200000,225000,250000,275000,300000,325000,350000,375000,400000,450000,500000,550000,600000,650000,700000,750000,800000,850000,900000,950000,1000000,1100000,1200000,1300000,1400000,1500000,1750000,2000000,2250000,2500000,3000000,3500000,4000000,5000000,6000000,7000000,8000000,9000000,10000000,11000000,12000000,13000000,14000000,15000000,16000000,17000000,18000000,19000000,20000000,21000000,22000000,22064000
Tsat,6.97,13.02,17.5,21.08,24.08,28.96,32.87,40.29,45.81,53.97,60.06,64.96,69.09,75.86,81.32,91.76,99.61,99.97,105.97,111.35,116.04,120.21,123.97,127.41,130.58,133.52,136.27,138.86,141.3,143.61,147.9,151.83,155.46,158.83,161.98,164.95,167.75,170.41,172.94,175.35,177.66,179.88,184.06,187.96,191.6,195.04,198.29,205.72,212.38,218.41,223.95,233.85,242.56,250.35,263.94,275.59,285.83,295.01,303.35,311,318.08,324.68,330.85,336.67,342.16,347.36,352.29,356.99,361.47,365.75,369.83,373.71,373.95
