P\T,100,110,120,130,140,150,160,170,180,190
100000,0.0005897900000000001,0.0005733099999999999,0.00055783,0.00054325,0.0005294799999999999,0.00051645,0.00050409,0.00049235,0.00048117,0.00047051
110000,,0.00063171,0.00061425,0.00059809,0.00058309,0.0005685,0.00055494,0.00054201,0.00052966,0.00051787
120000,,0.00068994,0.00067108,0.00065335,0.00063663,0.00062083,0.00060586,0.00059165,0.00057814,0.0005652700000000001
130000,,0.0007485,0.0007278,0.00070872,0.0006901300000000001,0.0006729500000000001,0.0006729500000000001,0.00064144,0.00062657,0.00061275
140000,,0.00080726,0.0007849199999999999,0.00076395,0.00074421,0.00072558,0.00070796,0.00069124,0.00067536,0.0006602400000000001
150000,,,0.00084175,0.00081967,0.0007980800000000001,0.00077821,0.0007593,0.00074129,0.00072411,0.00070771
160000,,,0.0008993600000000001,0.00087507,0.00085224,0.00083072,0.00081038,0.0007911200000000001,0.00077284,0.00075545
170000,,,0.00095694,0.0009311,0.00090662,0.00088339,0.00086207,0.00084104,0.00082169,0.00080321
180000,,,0.00101443,0.00098671,0.0009607099999999999,0.00093624,0.00091315,0.0008913,0.00087057,0.0008508799999999999
190000,,,0.00107216,0.00104275,0.0010151300000000002,0.00098912,0.00096469,0.00094153,0.00091954,0.00089871
200000,,,,0.0010989,0.00106965,0.00104217,0.00101626,0.00099177,0.0009685700000000001,0.0009465400000000001
210000,,,,0.00115513,0.0011242300000000002,0.00109529,0.00106792,0.0010421,0.0010177099999999998,0.0009944300000000001
220000,,,,0.00121163,0.00117906,0.00114849,0.0011197099999999999,0.0010925499999999999,0.00106684,0.00104243
230000,,,,0.00126823,0.0012339599999999999,0.0012017800000000002,0.00117151,0.00114299,0.0011160699999999998,0.00109051
240000,,,,0.00132492,0.00128894,0.00125522,0.0012235199999999999,0.00119363,0.00116536,0.00113856
250000,,,,0.0013817900000000001,0.00134409,0.00130873,0.0012755099999999999,0.0012442500000000001,0.00121477,0.00118666
260000,,,,0.0014387900000000001,0.00139931,0.0013623700000000001,0.00132769,0.00129502,0.0012641599999999998,0.00123494
270000,,,,0.00149589,0.00145476,0.00141603,0.00137988,0.0013459000000000001,0.00131372,0.0012832
280000,,,,,0.00151017,0.00146994,0.00143222,0.00139673,0.00136323,0.00133153
290000,,,,,0.00156568,0.00152393,0.00148456,0.0014476,0.0014128300000000001,0.00137988
300000,,,,,0.0016215399999999999,0.00157794,0.0015371200000000001,0.00149875,0.00146258,0.00142838
320000,,,,,0.00173343,0.00168638,0.00164239,0.0016011,0.00156221,0.0015254799999999998
340000,,,,,0.0018458399999999999,0.0017952699999999999,0.0017480500000000001,0.00170378,0.0016621300000000002,0.0016228199999999999
