P,1000,1500,2000,2500,3000,4000,5000,7500,10000,15000,20000,25000,30000,40000,50000,75000,100000,101325,125000,150000,175000,200000,225000,250000,275000,300000,325000,350000,375000,400000,450000,500000,550000,600000,650000,700000,750000,800000,850000,900000,950000,1000000,1100000,1200000,1300000,1400000,1500000,1750000,2000000,2250000,2500000,3000000,3500000,4000000,5000000,6000000,7000000,8000000,9000000,10000000,11000000,12000000,13000000,14000000,15000000,16000000,17000000,18000000,19000000,20000000,21000000,22000000,22064000
Hl,29303,54688,73433,88424,100980,121390,137750,168750,191810,225940,251420,271960,289270,317620,340540,384440,417510,419060,444360,467130,487010,504710,520710,535350,548860,561430,573190,584260,594730,604660,623140,640090,655770,670380,684080,697000,709240,720870,731950,742560,752740,762510,781030,798330,814590,829960,844550,878160,908470,936210,961870,1008300,1049700,1087400,1154500,1213800,1267500,1317100,1363700,1407800,1450200,1491300,1531400,1571000,1610300,1649900,1690300,1732200,1776800,1826600,1888000,2011100,2084300
