P\T,0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180,190,200,210,220,230,240,250,260,270,280,290,300,310,320,330,340,350,360,370,380,390
2300000.0,1000.9010000000001,1000.801,999.301,996.7109,993.2459,989.0219,984.1551,978.6651,972.668,966.1836,959.1406,951.7465,943.92,935.6287,926.9559,917.8522,908.2652,898.3112,887.724,876.8084,865.2765,853.0967,,,,,,,,,,,,,,,,,,
2400000.0,1001.001,1000.9010000000001,999.4004,996.8102,993.3446,989.1197,984.1551,978.7609,972.668,966.1836,959.2326,951.8379,943.9305,935.7163,927.0418,917.9305,908.3477,898.3112,887.8629,876.8853,865.3513,853.2423,,,,,,,,,,,,,,,,,,
2500000.0,1001.001,1000.9010000000001,999.4004,996.8102,993.3446,989.1197,984.252,978.7609,972.7626,966.2769,959.2326,951.8379,944.0196,935.7163,927.0418,917.9305,908.4302,898.3919,887.9418,876.9622,865.4262,853.3151,840.548,,,,,,,,,,,,,,,,,
2600000.0,1001.101,1001.001,999.5003,996.8102,993.3446,989.1197,984.252,978.8557,972.7626,966.2769,959.3246,951.9277,944.1088,935.8039,927.1278,918.0207,908.4302,898.4726,888.0206,877.03091,865.5011,853.388,840.6187,,,,,,,,,,,,,,,,,
2700000.0,1001.101,1001.001,999.5003,996.9096,993.4433,989.2175,984.3489,978.8557,972.8753,966.3703,959.4167,951.9277,944.1088,935.8914,927.2137,918.105,908.5128,898.5533,888.0995,877.116,865.576,853.46083,840.6894,,,,,,,,,,,,,,,,,
2800000.0,1001.201,1001.101,999.5003,996.9096,993.4433,989.2175,984.3489,978.8557,972.8753,966.3703,959.4167,952.0183,944.1979,935.8914,927.2137,918.105,908.5953,898.6341,888.0995,877.193,865.651,853.5336,840.8307,827.3352,,,,,,,,,,,,,,,,
2900000.0,1001.201,1001.101,999.6,997.009,993.542,989.3154,984.4458,978.9525,972.9519,966.4637,959.5087,952.0183,944.1979,935.979,927.2997,918.1893,908.6779,898.6341,888.1783,877.193,865.7259,853.6065,840.9014,827.4036,,,,,,,,,,,,,,,,
3000000.0,1001.3019999999999,1001.201,999.6,997.009,993.542,989.3154,984.4458,978.9525,972.9519,966.4637,959.5087,952.1089,944.2871,935.979,927.3857,918.2736,908.6779,898.7148,888.2572,877.2699,865.8009,853.6794,840.9722,827.5405,,,,,,,,,,,,,,,,
3100000.0,1001.3019999999999,1001.201,999.7,997.1084,993.6407,989.4133,984.5427,979.0484,973.0466,966.5571,959.6008,952.1996,944.2871,936.0666,927.3857,918.2736,908.7605,898.7956,888.3361,877.3469,865.8758,853.8251,841.0429,827.609,,,,,,,,,,,,,,,,
3200000.0,1001.4020000000002,1001.3019999999999,999.7,997.1084,993.6407,989.4133,984.5427,979.0484,973.0466,966.5571,959.6008,952.1996,944.3762,936.1543,927.4717,918.358,908.843,898.8764,888.4151,877.4239,865.9508,853.898,841.1844,827.746,,,,,,,,,,,,,,,,
3300000.0,1001.4020000000002,1001.3019999999999,999.8,997.2078,993.7394,989.5112,984.5427,979.1442,973.1413,966.6506,959.6929,952.2903,944.4654,936.1543,927.4717,918.4423,908.9257,898.8764,888.494,877.5009,866.0258,853.971,841.2552,827.8146,,,,,,,,,,,,,,,,
3400000.0,1001.5019999999998,1001.3019999999999,999.8,997.2078,993.7394,989.5112,984.6396,979.1442,973.1413,966.6506,959.6929,952.2903,944.4654,936.2419,927.5577,918.4423,908.9257,898.9572,888.573,877.6549,866.1008,854.0439,841.3259,827.8831,813.6697,,,,,,,,,,,,,,,
3500000.0,1001.5019999999998,1001.4020000000002,999.9,997.2078,993.7394,989.5112,984.6396,979.2401,973.236,966.744,959.785,952.381,944.5546,936.2419,927.6438,918.5267,909.0083,899.038,888.573,877.6549,866.1758,854.1168,841.3967,828.0202,813.8021,,,,,,,,,,,,,,,
3600000.0,1001.6025,1001.4020000000002,999.9,997.3073,993.8382,989.6091,984.7366,979.2401,973.236,966.744,959.785,952.381,944.5596,936.3296,927.6438,918.6111,909.0909,899.1189,888.6519,877.7319,866.401,854.4087,841.68,828.2945,814.0671,,,,,,,,,,,,,,,
3700000.0,1001.6025,1001.5022,1000.0,997.3073,993.8382,989.6091,984.7366,979.336,973.3307,966.8375,959.8771,952.4717,944.6439,936.4173,927.7298,918.6111,909.1736,899.1997,888.7309,877.819,,,,,,,,,,,,,,,,,,,,
3800000.0,1001.703,1001.5022,1000.0,997.4067,993.937,989.707,984.8336,979.336,973.3307,966.8375,959.8771,952.4717,944.6439,936.4173,927.8159,918.6955,909.1736,899.1997,888.8099,877.8861,,,,,,,,,,,,,,,,,,,,
3900000.0,1001.7028000000001,1001.6025,1000.0,997.4067,993.937,989.707,984.8336,979.4319,973.4255,966.931,959.9693,952.5624,944.7331,936.505,927.8159,918.7799,909.2562,899.2806,888.888,877.9631,866.476,854.4818,841.7508,828.3632,814.1996,,,,,,,,,,,,,,,
4000000.0,1001.8032,1001.6025,1000.1,997.5062,994.0358,989.805,984.9306,979.4319,973.4255,966.931,959.9693,952.5624,944.8224,936.5927,927.902,918.8643,909.3389,899.3615,888.9679,878.0402,866.5511,854.5548,841.8926,828.5004,814.3322,799.2327,,,,,,,,,,,,,,
4099999.9999999995,1001.8032,1001.7028000000001,1000.1,997.5062,994.0358,989.805,984.9306,979.4319,973.5202,967.0245,960.0614,952.6531,944.8224,936.5927,927.9881,918.8643,909.3389,899.423,889.0469,878.1173,866.6262,854.6278,841.9635,828.5691,814.3985,799.2966,,,,,,,,,,,,,,
4200000.0,1001.9035999999999,1001.7028000000001,1000.1999999999999,997.6057,994.0358,989.903,985.0276,979.5279,973.5202,967.0245,960.0613999999999,952.7439,944.9117,936.6804,927.9881,918.9487,909.4216,899.5233,889.0469,878.1944,866.7013,854.7009,842.0344,828.7064,814.5312,799.4244,,,,,,,,,,,,,,
4300000.0,1001.9035999999999,1001.8032,1000.1999999999999,997.6057,994.1346,989.903,985.0276,979.5279,973.615,967.118,960.1536,952.7439,944.9117,936.6804,928.072,919.0332,909.5043,899.5333,889.126,878.2716,866.7765,854.7739,842.1053,828.7751,814.664,799.5523,,,,,,,,,,,,,,
4400000.0,1002.0040000000001,1001.8032,1000.3,997.6057,994.1346,989.903,985.0276,979.6238,973.615,967.118,960.1536,952.8347,945.0,936.7682,928.0742,919.0332,909.587,899.6042,889.2051,878.2716,866.8516,854.847,842.2471,828.9125,814.7303,799.6801,,,,,,,,,,,,,,
4500000.0,1002.0040000000001,1001.9035999999999,1000.3,997.7053,994.2334,990.001,985.1246,979.6238,973.615,967.2115,960.2458,952.8347,945.0,936.8559,928.1604,919.1176,909.587,899.6851,889.241,878.3487,866.9267,854.9201,842.3181,828.9812,814.8631,799.808,,,,,,,,,,,,,,
4600000.0,1002.1044000000002,1001.9035999999999,1000.4,997.7053,994.2334,990.001,985.1246,979.7198,973.7098,967.2115,960.2458,952.9255,945.0903,936.8559,928.2465,919.2021,909.6698,899.7661,889.3632,878.4259,867.0019,855.0663,842.389,829.0499,814.9295,799.936,,,,,,,,,,,,,,
4700000.0,1002.1044000000002,1002.0040000000001,1000.4,997.8048,994.3223,990.099,985.2217,979.8158,973.7098,967.3051,960.338,952.9254999999999,945.1796,936.9437,928.2465,919.2021,909.7525,899.847,889.4423,878.503,867.0771,855.1394,842.46,829.1874,815.0624,800.0,783.9448,,,,,,,,,,,,,
4800000.0,1002.2047999999999,1002.0040000000001,1000.4,997.8048,994.3323,990.099,985.2217,979.8158,973.8047,967.3051,960.338,953.0163,945.1796,936.9437,928.3327,919.2866,909.8353,899.847,889.4423,878.58,867.1523,855.2125,842.602,829.2562,815.1288,800.128,784.0677,,,,,,,,,,,,,
4900000.0,1002.2047999999999,1002.0040000000001,1000.5,997.9144,994.4312,990.197,985.3188,979.8158,973.8047,967.3987,960.4303,953.0163,945.2689,937.0315,928.4189,919.3712,909.8353,899.928,889.5214,878.6574,867.2275,855.2857,842.673,829.3937,815.2617,800.2561,784.1907,,,,,,,,,,,,,
5000000.0,1002.3053,1002.1044000000002,1000.5,997.9144,994.4312,990.197,985.3188,979.9118,973.8995,967.3987,960.4303,953.1071,945.2689,937.1193,928.4189,919.3712,909.9181,900.009,889.6006,878.7346,867.3027,855.3588,842.744,829.4625,815.3947,800.3842,784.3137,,,,,,,,,,,,,
5200000.0,1002.4056999999999,1002.2047999999999,1000.5999999999999,998.004,994.5301,990.2951,985.4158,980.0078,973.944,967.4923,960.5225,953.198,945.3583,937.2071,928.5913,919.5402,910.0,900.09,889.7589,878.8891,867.4532,855.5052,842.9571,829.669,815.5942,800.6405,784.5599,,,,,,,,,,,,,
5400000.0,1002.5062,1002.3053,1000.6999999999999,998.1036,994.629,990.3932,985.513,980.0078,974.0892,967.5859,960.6148,953.28888,945.5371,937.295,928.6776,919.6248,910.166,900.2521,889.9172,879.0436,867.6037,855.6516,843.0992,829.8755,815.7938,800.8329,784.8678,,,,,,,,,,,,,
5600000.0,1002.6067,1002.4056999999999,1000.801,998.2032,994.7279,990.4912999999999,985.6101,980.1039,974.1841,967.6795,960.7994,953.3797,945.6265,937.3828,928.7638,919.7094,910.2494,900.4142,889.9964,879.1982,867.7543,855.8713,843.3125,830.0133,815.9935,801.0895,785.1142,767.8722,,,,,,,,,,,,
5800000.0,1002.7072999999999,1002.5062,1000.9010000000001,998.3029,994.7279,990.5894,985.7072,980.2,974.279,967.7732,960.8917,953.4706,945.7159,937.4717,928.8501,919.8786,910.4151,900.4953,890.1549,879.2755,867.9049,856.0178,843.4548,830.22,816.1933,801.2821,785.3609,768.1672,,,,,,,,,,,,
